pipe_id,latitude,longitude,material,diameter,installation_year,age,soil_type,pressure,depth,prev_repairs,last_inspection,traffic_load,elevation,ground_movement_risk,water_proximity,temp_fluctuation
P0000,33.051794315597895,-115.40515046936318,Ductile Iron,medium (8-12),1936,87,Sandy,9.92,6.06,3,686,3,104.76142121192711,9.007664599879405,3184.0402943521444,34.91281323925389
P0001,37.85123806953263,-120.45312672333088,Cast Iron,small (2-6),1952,71,Clay,89.82,3.91,4,401,10,843.1475242601502,0.2913782654487118,2074.12712420855,17.937682437459458
P0002,36.77266426701277,-120.35092252198095,Asbestos Cement,medium (8-12),1984,39,Silt,52.59,7.83,2,64,9,149.11786119996327,9.287695812744147,2079.3001186594665,45.223173352478234
P0003,33.60075606548873,-115.43741402830626,Ductile Iron,small (2-6),1986,37,Rocky,25.3,5.36,0,642,1,634.0364785675895,8.383045970510366,2813.739389069136,13.482058598079934
P0004,39.356430451066295,-122.02215834263596,Cast Iron,small (2-6),1935,88,Silt,129.81,3.7,8,1012,6,919.4328908788983,0.7762771117870892,3214.811131199349,36.067831617223945
P0005,35.08525636915404,-117.69925373431569,Cast Iron,small (2-6),1932,91,Rocky,24.54,4.22,3,441,4,810.1385519919892,3.0626221232021944,1808.9648085968263,32.84515190180095
P0006,34.84532259696671,-117.18880513518222,Asbestos Cement,small (2-6),1943,80,Rocky,54.36,5.76,2,400,6,713.4034258731297,2.3161189128288537,594.4020706466802,28.884695047425794
P0007,35.99393976083291,-117.86078877876741,Ductile Iron,medium (8-12),1982,41,Clay,69.58,6.39,0,146,4,382.1337670512629,4.895354518378285,4923.374753835806,48.64159782339748
P0008,38.629141508889774,-122.66915249544759,Ductile Iron,small (2-6),1937,86,Sandy,73.04,5.65,4,8,9,399.2559537835493,1.4770814886632977,4360.775649840523,41.513796333792534
P0009,35.81749095882028,-116.87746537186248,Asbestos Cement,large (14-24),1963,60,Silt,51.87,3.05,2,877,2,963.3350241410308,0.9067665086203658,619.2289391924538,37.05656355747041
P0010,37.11333065906915,-119.79154649864441,Asbestos Cement,small (2-6),1950,73,Rocky,28.85,5.54,6,797,1,31.467290714254915,1.0210979240994034,511.31529403564747,39.592346615775526
P0011,37.98058690395041,-119.32856421490193,Cast Iron,medium (8-12),1963,60,Silt,43.76,7.57,1,279,1,713.3651270584355,0.9535214711224105,3739.6437974478063,39.6264262649875
P0012,37.751267184937156,-118.4909290737062,Asbestos Cement,small (2-6),1937,86,Sandy,74.58,3.35,3,489,2,579.3212837486495,9.166869505199923,1189.774959779773,31.903859593457593
P0013,35.56423226026671,-115.58896715329092,Cast Iron,medium (8-12),1948,75,Rocky,18.83,3.03,2,399,3,773.5321645667285,7.333534363861784,2921.58092121894,43.028361426829846
P0014,35.71095399008959,-120.55637899728059,Cast Iron,medium (8-12),1951,72,Rocky,37.2,5.61,3,876,4,659.6244852541273,5.290432304213763,4925.2149615940225,11.332534376510127
P0015,36.40786209803845,-117.15512178694446,Cast Iron,small (2-6),1981,42,Sandy,15.52,3.4,2,633,1,421.7397202755947,2.0874281322026844,12.792676146538007,8.126367504432151
P0016,36.702346182445496,-121.98223272884726,Cast Iron,small (2-6),1944,79,Loam,25.48,4.71,1,93,4,652.6849605680158,8.447169464188404,3098.132262275721,16.7554304065479
P0017,35.78989105034931,-119.62092496413408,Ductile Iron,small (2-6),1954,69,Silt,58.94,5.7,9,956,3,872.5795612191148,6.950000509802504,4936.062116646193,17.583143303566743
P0018,34.53859663722955,-120.53877962610625,Cast Iron,medium (8-12),1983,40,Sandy,46.06,4.74,1,728,5,382.9717807188021,9.215857595500147,4647.514896618536,22.250554372808377
P0019,36.52297395192713,-118.53053702062543,HDPE,medium (8-12),1924,99,Rocky,20.84,6.4,5,396,3,668.5832407115574,5.293973190373604,4846.48851702673,20.654700987294113
P0020,41.10112877598301,-123.54148989374559,Cast Iron,very large (>24),1943,80,Sandy,77.84,6.96,3,633,5,894.3812701265247,2.5347990947514445,1428.7958142008056,26.566486485126525
P0021,34.71566668803301,-118.39629311911878,Asbestos Cement,large (14-24),1930,93,Rocky,66.89,4.89,4,753,10,793.2660497527081,9.051197536841038,2365.061290250014,24.193225133092053
P0022,38.96987455742064,-122.00618205142906,Steel,medium (8-12),1957,66,Silt,16.51,7.62,3,46,9,846.4353293723416,9.760598078407874,2761.3648784294387,26.324522839184816
P0023,36.14991739810259,-116.7604425886483,Asbestos Cement,very large (>24),1967,56,Clay,41.77,4.94,2,739,6,93.7660555695653,1.6562393573849665,2832.764750838983,8.967611853075894
P0024,36.40646384828577,-118.17079023875536,Cast Iron,small (2-6),1995,28,Silt,24.8,6.89,2,62,9,94.73390035566021,7.107036852905533,2858.9631832066525,6.476270682076505
P0025,36.44078527220782,-121.62922574472759,Cast Iron,large (14-24),1938,85,Silt,53.75,5.25,4,33,8,688.8771454068714,6.680905924600548,3094.946687474329,26.195152256334524
P0026,35.42388377782497,-115.92794978026285,Asbestos Cement,small (2-6),1942,81,Rocky,76.17,6.09,5,248,6,660.510884181492,2.1726535548350534,370.52168051891323,33.290906898610515
P0027,35.33061478964853,-119.00217610184238,Ductile Iron,large (14-24),1950,73,Clay,60.51,4.74,3,847,6,622.2319892305367,4.437008467247379,4461.821785752061,20.33565479573807
P0028,39.12784195012085,-122.60929364033237,Ductile Iron,small (2-6),1939,84,Clay,36.62,3.16,4,793,9,250.37868692742626,6.270102546462174,3099.303935388162,12.054958902707845
P0029,40.74886051683808,-123.61257141935285,Ductile Iron,very large (>24),1963,60,Rocky,47.9,3.31,1,1026,7,717.5388178424668,0.4316919699646893,917.3560760745619,5.3569914205190745
P0030,37.36093570009883,-118.91280840471418,Cast Iron,small (2-6),1926,97,Clay,27.29,3.6,6,33,8,534.4020515436531,3.5089991071602133,2204.5445901367857,38.787923361957304
P0031,36.09833994653725,-120.95680824434486,Asbestos Cement,medium (8-12),1960,63,Clay,46.2,4.83,2,349,8,139.3954741657988,2.3915646222853706,526.2591723555615,14.401370608036027
P0032,41.01927153395104,-123.65754567055275,PVC,small (2-6),1954,69,Sandy,58.35,5.78,3,835,3,872.8117592620168,4.218887688674238,3418.489376971591,48.383334637483905
P0033,34.395315809714035,-116.76940457116588,PVC,medium (8-12),1933,90,Sandy,30.19,4.85,5,328,1,402.2628339509693,5.669328472262308,1366.7459204739873,12.278893361886555
P0034,33.51364287607764,-115.56736166982722,Asbestos Cement,small (2-6),1951,72,Clay,60.33,7.0,3,573,4,848.8317976191128,8.552974724223382,4847.789153122337,24.805936481631537
P0035,35.503867531816695,-118.3227799041519,Ductile Iron,medium (8-12),1952,71,Loam,66.33,4.78,2,103,3,183.441392459027,4.180532547021888,3365.5724820808064,43.67395793485174
